,CRN,Subj,Crse,Sec,Cred,Title,Campus,Fee,Sylbi?,Location,Day(s),Time,Act,Rem,Instructor,Course Dates,Year,Term
308,29334,CS,599,001,3.000,THESIS RESEARCH/WRITING,Bowling Green,,Yes,TBA,,TBA,3,-2,"Xing, G",08/23-12/10,2021,Fall
309,31398,CS,599,002,6.000,THESIS RESEARCH/WRITING,Bowling Green,,Yes,TBA,,TBA,1,0,"Galloway, J",08/23-12/10,2021,Fall
310,50069,CS,599,006,3.000,THESIS RESEARCH/WRITING,Bowling Green,,Yes,TBA,,TBA,1,0,"Galloway, J",08/23-12/10,2021,Fall
311,02869,CS,600,001,1.000,MAINT MATRICULATION,Bowling Green,,Yes,TBA,,TBA,1,4,"Xing, G",10/20-12/10,2021,Fall
312,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,2021,Fall
313,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,Fall
314,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,2021,Fall
315,45488,CS,180,001,4.000,COMPUTER SCIENCE I,Bowling Green,$45,Yes,SH B104,MWF,09:10 am-10:05 am,22,8,"Atici, M",01/19-04/30,2021,Spring
316,,,,,,,,,,SH B104,T,12:45 pm-02:35 pm,,,"Atici, M",01/19-04/30,2021,Spring
317,33050,CS,270,001,3.000,INTRO TO WEB PROGRAMMING,Bowling Green,,Yes,SH B103,MWF,11:30 am-12:25 pm,26,4,"Atici, M",01/19-04/30,2021,Spring
318,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,2021,Spring
319,46126,CS,290,001,4.000,COMPUTER SCIENCE II,Bowling Green,$45,Yes,OCH 1006,MWF,10:20 am-11:15 am,14,8,"Xing, G",01/19-02/12,2021,Spring
320,,,,,,,,,,SH B104,M,01:50 pm-03:40 pm,,,"Xing, G",01/19-02/12,2021,Spring
321,,,,,,,,,,WEB,MWF,10:20 am-11:15 am,,,"Xing, G",02/13-04/30,2021,Spring
322,,,,,,,,,,WEB,M,01:50 pm-03:40 pm,,,"Xing, G",02/13-04/30,2021,Spring
323,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,2021,Spring
324,46129,CS,290,002,4.000,HON: COMPUTER SCIENCE II,Bowling Green,$45,Yes,OCH 1006,MWF,10:20 am-11:15 am,5,0,"Xing, G",01/19-02/12,2021,Spring
325,,,,,,,,,,SH B104,W,01:50 pm-03:40 pm,,,"Xing, G",01/19-02/12,2021,Spring
326,,,,,,,,,,WEB,MWF,10:20 am-11:15 am,,,"Xing, G",02/13-04/30,2021,Spring
327,,,,,,,,,,WEB,W,01:50 pm-03:40 pm,,,"Xing, G",02/13-04/30,2021,Spring
328,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,Honors Eligibility or 3.2 overall university GPA required Course becomes online synchronous after the first two weeks.,2021,Spring
329,46127,CS,290,007,4.000,COMPUTER SCIENCE II,Bowling Green,$45,Yes,OCH 1006,MWF,10:20 am-11:15 am,13,2,"Xing, G",01/19-02/12,2021,Spring
330,,,,,,,,,,SH B104,W,01:50 pm-03:40 pm,,,"Xing, G",01/19-02/12,2021,Spring
331,,,,,,,,,,WEB,MWF,10:20 am-11:15 am,,,"Xing, G",02/13-04/30,2021,Spring
332,,,,,,,,,,WEB,W,01:50 pm-03:40 pm,,,"Xing, G",02/13-04/30,2021,Spring
333,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,Course becomes online synchronous after the first two weeks.,2021,Spring
334,46431,CS,299,001,1.000,INTRO TO RESEARCH IN CS,Bowling Green,,,TBA,,TBA,2,0,"Ziegler, U",01/19-04/30,2021,Spring
335,46466,CS,299,003,1.000,INTRO TO RESEARCH IN CS,Bowling Green,,,TBA,,TBA,1,0,"Atici, M",01/19-04/30,2021,Spring
336,46098,CS,301,001,3.000,GAME PROGRAMMING,Bowling Green,,Yes,JRH 0236,TR,09:35 am-10:55 am,47,3,"Galloway, J",01/19-04/30,2021,Spring
337,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,2021,Spring
338,28933,CS,325,001,3.000,COMPUTER ORG AND ARCH,Bowling Green,,Yes,SH 2113,TR,12:45 pm-02:05 pm,28,12,"Galloway, J",01/19-04/30,2021,Spring
339,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 1/2 of the instruction online and requires one face-to-face meeting for each half of the class. Instructor will notify students of their assigned class day.,2021,Spring
340,35756,CS,371,001,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,Yes,COHH 3117,M,08:00 am-08:55 am,8,3,"Wang, H",01/19-04/30,2021,Spring
341,,,,,,,,,,WEB,WF,08:00 am-08:55 am,,,"Wang, H",01/19-04/30,2021,Spring
342,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,2021,Spring
343,35757,CS,371,002,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,Yes,WEB,MF,09:10 am-10:05 am,7,4,"Ziegler, U",01/19-04/30,2021,Spring
344,,,,,,,,,,COHH 3117,W,09:10 am-10:05 am,,,"Ziegler, U",01/19-04/30,2021,Spring
345,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,2021,Spring
346,35759,CS,371,003,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,Yes,COHH 3117,M,10:20 am-11:15 am,11,0,"Wang, H",01/19-04/30,2021,Spring
347,,,,,,,,,,WEB,WF,10:20 am-11:15 am,,,"Wang, H",01/19-04/30,2021,Spring
348,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,2021,Spring
349,35762,CS,371,004,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,Yes,WEB,MF,11:30 am-12:25 pm,8,3,"Ziegler, U",01/19-04/30,2021,Spring
350,,,,,,,,,,COHH 3117,W,11:30 am-12:25 pm,,,"Ziegler, U",01/19-04/30,2021,Spring
351,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,2021,Spring
352,42790,CS,371,005,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,Yes,WEB,MF,01:50 pm-02:45 pm,7,4,"Ziegler, U",01/19-04/30,2021,Spring
353,,,,,,,,,,COHH 3117,W,01:50 pm-02:45 pm,,,"Ziegler, U",01/19-04/30,2021,Spring
354,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,Honors Eligibility or 3.2 overall university GPA requiredThis course is hybrid with 2/3 of the instruction online and requires face-to-face meetings with all students on the scheduled day.,2021,Spring
355,37198,CS,382,001,3.000,PROGRAMMING LANGUAGES,Bowling Green,,Yes,SH 1103,MWF,10:20 am-11:15 am,26,4,"Atici, M",01/19-04/30,2021,Spring
356,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,This course is hybrid with 2/3 of instruction online and requires one face-to-face meeting for each 1/3 of the class. Instructor will notify students of their assigned class day.,2021,Spring
357,33166,CS,445,002,3.000,OPERATING SYSTEMS II,Bowling Green,,Yes,SH 1101,M,09:10 am-10:05 am,13,7,"Li, Q",01/19-04/30,2021,Spring
358,,,,,,,,,,WEB,WF,09:10 am-10:05 am,,,"Li, Q",01/19-04/30,2021,Spring
